fair_slug,gallery_name_en,source_url,reason
frieze_london,Athr,https://athrart.com/ar/exhibitions/past,max7_target_update
frieze_london,Athr,https://athrart.com/exhibitions/39-afterschool-curated-by-rania-majinyan/works,max7_target_update
frieze_london,Athr,https://athrart.com/exhibitions/40-sarah-abu-abdallah-you-ask-we-answer-commissioned-by-sharjah-art-foundation/overview,max7_target_update
frieze_london,Athr,https://athrart.com/exhibitions/41-between-memory-and-matter-solo-exhibition-by-zahrah-alghamdi/works,max7_target_update
frieze_london,Athr,https://athrart.com/exhibitions/past,max7_target_update
frieze_london,Athr,https://athrart.com/exhibitions/past/location/3,max7_target_update
frieze_london,Athr,https://athrart.com/exhibitions/past/location/4,max7_target_update
frieze_london,Gallery Baton,https://gallerybaton.com/Projects,max7_target_update
frieze_london,Gallery Baton,https://gallerybaton.com/exhibitions,max7_target_update
frieze_london,Gallery Baton,https://gallerybaton.com/exhibitions/119-estuary-between-tides,max7_target_update
frieze_london,Gallery Baton,https://gallerybaton.com/exhibitions/120-tatsuo-miyajima-folding-cosmos,max7_target_update
frieze_london,Gallery Baton,https://gallerybaton.com/exhibitions/121-minyoung-choi-midnight-walk,max7_target_update
frieze_london,Gallery Baton,https://gallerybaton.com/exhibitions/122-jimok-choi-a-hundred-suns,max7_target_update
frieze_london,Gallery Baton,https://gallerybaton.com/exhibitions/123-heeseung-chung-wilder,max7_target_update
liste,A+ Works of Art,https://aplusart.asia/exhibitions,max7_target_update
liste,A+ Works of Art,https://aplusart.asia/exhibitions/101-kadang-kadang-dekat-dekat-akan-datang-no.-7-featuring-luke-heng,max7_target_update
liste,A+ Works of Art,https://aplusart.asia/exhibitions/102-a-by-agus-suwage-curated-by-bob-edrian,max7_target_update
liste,A+ Works of Art,https://aplusart.asia/exhibitions/103-sea-the-mother-s-embrace-dian-suci-ipeh-nur-ratna-rantnaningtyas,max7_target_update
liste,A+ Works of Art,https://aplusart.asia/exhibitions/104-kadang-kadang-dekat-dekat-akan-datang-no.-8-featuring-than-sok,max7_target_update
liste,A+ Works of Art,https://aplusart.asia/exhibitions/105-lost-time-and-the-motions-of-the-in-between-a-solo-exhibition-by-joshua-kane-gomes,max7_target_update
liste,A+ Works of Art,https://aplusart.asia/exhibitions/106-on-air-off-air-ho-rui-an-and-sung-tieu,max7_target_update
liste,Addis Fine Art,https://addisfineart.com/exhibitions,max7_target_update
liste,Addis Fine Art,https://addisfineart.com/exhibitions/130-whispers-of-form-dereje-demissie,max7_target_update
liste,Addis Fine Art,https://addisfineart.com/exhibitions/131-exile-within-adiskidan-ambaye,max7_target_update
liste,Addis Fine Art,https://addisfineart.com/exhibitions/132-motion-selome-muleta-at-jan-kaps-cologne,max7_target_update
liste,Addis Fine Art,https://addisfineart.com/exhibitions/133-merikokeb-berhanu-esther-schipper-berlin,max7_target_update
liste,Addis Fine Art,https://addisfineart.com/exhibitions/134-merikokeb-berhanu-james-cohan-new-york,max7_target_update
liste,Addis Fine Art,https://addisfineart.com/exhibitions/135-chromatic-bloom-dawit-adnew,max7_target_update
liste,Afriart Gallery,https://afriartgallery.org/exhibitions,max7_target_update
liste,Afriart Gallery,https://afriartgallery.org/exhibitions/fabric-of-our-being-april-kamunde,max7_target_update
liste,Afriart Gallery,https://afriartgallery.org/exhibitions/from-addis-to-kampala-a-sensory-geography-fiker-solomon,max7_target_update
liste,Afriart Gallery,https://afriartgallery.org/exhibitions/the-quiet-weight-of-thoughts-daniel-atenyi-richard-atugonza,max7_target_update
liste,Afriart Gallery,https://afriartgallery.org/exhibitions/tides-of-being-sungi-mlengeya,max7_target_update
liste,Afriart Gallery,https://afriartgallery.org/exhibitions/undone-charlene-komuntale-sarah-waiswa,max7_target_update
liste,Afriart Gallery,https://afriartgallery.org/projects,max7_target_update
liste,Amanita,https://spazioamanita.com/Exhibitions/ContemporaryIstanbul25.html,max7_target_update
liste,Amanita,https://spazioamanita.com/Exhibitions/DesireScript.html,max7_target_update
liste,Amanita,https://spazioamanita.com/Exhibitions/IusedtobeaMountain.html,max7_target_update
liste,Amanita,https://spazioamanita.com/Exhibitions/Questaserasirecitaasoggetto.html,max7_target_update
liste,Amanita,https://spazioamanita.com/Exhibitions/SpiritEconomy.html,max7_target_update
liste,Amanita,https://spazioamanita.com/Exhibitions/SwallowtheMoon.html,max7_target_update
liste,Amanita,https://spazioamanita.com/Exhibitions/ToaPasserby.html,max7_target_update
frieze_london,The Approach,https://www.theapproach.co.uk/exhibitions,max7_target_update
frieze_london,The Approach,https://www.theapproach.co.uk/exhibitions/current,max7_target_update
frieze_london,The Approach,https://www.theapproach.co.uk/exhibitions/past/2025,max7_target_update
frieze_london,The Approach,https://www.theapproach.co.uk/exhibitions/upcoming,max7_target_update
frieze_london,Adams and Ollman,https://adamsandollman.com/Past-Exhibitions,max7_target_update
frieze_london,Arcadia Missa,https://arcadiamissa.com/category/exhibition,max7_target_update
liste,Anca Poteraşu Gallery,https://www.ancapoterasu.com/exhibitions,max7_target_update
